We publicly report all gifts and benefits accepted by the Secretary and Deputy Secretaries, and all gifts or benefits valued over $100 accepted by departmental employees in the course of their official duties. This supports public confidence in the integrity of the department.
Annual airline lounge memberships
| Received | Item | Received by | Presented by | Occasion | Estimated Value $A* | 
|---|---|---|---|---|---|
| Ongoing | Qantas Chairman Lounge membership | Victoria Anderson | Qantas Airways Ltd | Complimentary airline membership | > $100.00* | 
| Ongoing | Virgin Beyond Lounge membership | Victoria Anderson | Virgin Australia Airlines | Complimentary airline membership | > $100.00* | 
| Ongoing | Qantas Chairman Lounge membership | Partner of Victoria Anderson | Qantas Airways | Complimentary airline membership | > $100.00* | 
| Ongoing | Virgin Beyond Lounge membership | Partner of Victoria Anderson | Virgin Australia Airways | Complimentary airline membership | > $100.00* | 
| Ongoing | Qantas Chairman Lounge membership | Ms Justine Saunders APM | Qantas Airways Ltd | Complimentary airline membership | > $100.00* | 
| Ongoing | Qantas Chairman Lounge membership | Mr Matt Lowe | Qantas Airways Ltd | Complimentary airline membership | > $100.00* | 
| Ongoing | Qantas Chairman Lounge membership | Ms Tina Hutchison | Qantas Airways Ltd | Complimentary airline membership | > $100.00* | 
| Ongoing | Qantas Chairman Lounge membership | Kerren Crosthwaite | Qantas Airways Ltd | Complimentary airline membership | > $100.00* | 
| Ongoing | Virgin Beyond Lounge membership | Kerren Crosthwaite | Virgin Australia Airways | Complimentary airline membership | > $100.00* | 
*We do not determine exact value of the airline membership. The value is estimated to be more than the AUD100 reporting threshold.
Invitations to the Qantas Chairman’s lounge and Virgin Australia’s Beyond Lounge are at the discretion of Qantas Airways and Virgin Australia Airlines.
Gifts and benefits register
| Date Received | Item | Received by | Presented by | Occasion | Estimated Value $A | 
|---|---|---|---|---|---|
| 21/04/26 | Tea box from T2 | Department official | Western Sydney University | Gift of appreciation | $100.00 | 
| 24/04/26 | Tea box from T2 | Department official | Western Sydney University | Gift of appreciation | $100.00 | 
| 14/05/26 | Poultry euthanasia devices | Department official | Livetec Systems | Provided at the discretion of the company | $946.79 | 
| 16/05/26 | Catered lunch | Senior Executive Service officer | Maldives Ministry of Fisheries and Oceans | International delegation | $350.00 | 
| 19/05/26 | Training on the use the LUMA artefacts | Department official | MURAL | Training provided to departmental staff | $2,686.71 | 
| 04/06/26 | 5x 3D printed mosquito trapping parts | Department official | SA Health | Meeting with local government | $125.00 | 
| 22/06/26 | Lunch with industry and the Indonesian embassy | Department official | Incitec Pivot Fertilisers | International delegation | $100.00 | 
| 22/06/26 | Lunch with industry and the Indonesian embassy | Senior Executive Service officer | Incitec Pivot Fertilisers | International delegation | $100.00 | 
| 25/06/26 | Corporate discount on 2-year Qantas lounge membership | Senior Executive Service officer | Qantas Club | Corporate membership discount | $555.00 | 
| Date Received | Item | Received by | Presented by | Occasion | Estimated Value $A | 
|---|---|---|---|---|---|
| 31/01/2026 | Corporate discount on 1-year Qantas lounge membership | Department official | Qantas Airways | Corporate membership discount | $240.00 | 
| 03/02/2026 | Corporate discount on 2-year Qantas lounge membership | Department official | Qantas Airways | Corporate membership discount | $555.00 | 
| 11/02/2026 | Fuel and accommodation to present at a conference | Department official | Veterinary Public Health Chapter of the Australian and New Zealand College of Veterinary Scientists | Vet Science Week conference | $1000.00 | 
| 11/02/2026 | Fuel and accommodation to present at a conference | Department official | Veterinary Public Health Chapter of the Australian and New Zealand College of Veterinary Scientists | Vet Science Week conference | $1000.00 | 
| 25/02/2026 | Promotional pen and commemorative plaque ornament | Victoria Anderson, Secretary | Government of the United States of America | International delegation | $120.00 | 
| 28/02/2026 | Book titled 'War and Wheat' | Victoria Anderson, Secretary | Grain Growers of Australia | Gift following meeting | $27.00 | 
| 03/03/2026 | Attendance at the Parliamentary Friends of Australian Red Meat event | Victoria Anderson, Secretary | Red Meat Advisory Council | Invitation to attend the Parliamentary Friends of Australian Red Meat event | $20.00 | 
| 13/03/2026 | Corporate discount on 2-year Qantas lounge membership | Senior Executive Service officer | Qantas Airways | Corporate membership discount | $555.00 | 
| 14/03/26 | 2 bags of luxury supplements | Department official | Kailo Nutrition | “You’re on mute” Conference | $200.00 | 
| 18/03/2026 | Provision of a meeting room located at the University of Wollongong | Department official | University of Wollongong | To facilitate a bilateral meeting | $550.00 | 
| 27/03/26 | Corporate discount on 1-year Qantas lounge membership | Department official | Qantas | Corporate membership discount | $240.00 | 
| Date Received | Item | Received by | Presented by | Occasion | Estimated Value $A | 
|---|---|---|---|---|---|
| 21/08/2025 | Vietnamese Tea and Coffee | Ms Tina Hutchison | Vietnam-Australia Agriculture Forum | Forum with cultural gift | $15.00 | 
| 07/12/2025 | Flight upgrade from economy to business | Ms Tess Bishop | Virgin Australia Airlines | Operational decision by the airline | $473.50 | 
| 10/12/2025 | Flight upgrade from economy to business | Mr Matt Lowe | Qantas Airways Ltd | Operational decision by the airline | $400.00 | 
| Date Received | Item | Received by | Presented by | Occasion | Estimated Value $A | 
|---|---|---|---|---|---|
| 01/07/2025 | Qantas Chairman Lounge membership | Ms Tess Bishop | Qantas Airways Ltd | Complimentary airline membership | > $100.00* | 
| 01/07/2025 | Virgin Beyond Lounge membership | Ms Tess Bishop | Virgin Australia Airlines | Complimentary airline membership | > $100.00* | 
| 07/08/2025 | Flight upgrade from economy to business | Tess Bishop | Qantas Airways Ltd | Operational decision by the airline | $437.97 | 
| 09/09/2025 | Seminar attendance | Tess Bishop | McKinsey & Company | McKinsey Transformation Summit | $200.00 | 
| 10/09/2025 | Scarf | Tina Hutchinson | Ministry of Agriculture and Rural Affairs (MARA) – China | Cultural appreciation gift | $100.00 | 
| Date Received | Item | Received by | Presented by | Occasion | Estimated Value $A | 
|---|---|---|---|---|---|
| 06/06/2025 | Breakfast | Adam Fennessy PSM | Hort Innovation | Hort Innovation Frontiers breakfast | $125 | 
| 06/06/2025 | Dinner | Adam Fennessy PSM | AusVeg | Hort Connections 2025 Gala Dinner | $260 | 
| Date Received | Item | Received by | Presented by | Occasion | Estimated Value $A | 
|---|---|---|---|---|---|
| 26/3/2025 | Ticket to CropLife Agricultural Industry Budget Breakfast | Adam Fennessy | CropLife Australia | CropLife Agricultural Industry Budget Breakfast | $200 | 
| 26/3/2025 | Ticket to CropLife Agricultural Industry Budget Breakfast | Tess Bishop | CropLife Australia | CropLife Agricultural Industry Budget Breakfast | $100 | 
| Received | Item | Received by | Presented by | Occasion | Estimated Value $A | 
|---|---|---|---|---|---|
| 04/11/2024 | Virgin Beyond Lounge membership | Mr Adam Fennessy PSM | Virgin Australia Airlines | Complimentary airline membership | > $100.00* | 
| 11/11/2024 | Flight upgrade from economy to business | Mr Matt Lowe | Qantas Airways Ltd | Operational decision by the airline | $643.79 |
