How levy and export charge rates are set
Levy and export charge rates are set by the Australian primary industries that choose to invest in the levies system. The rates are established under legislation.
Levies and charges help to pay for:
- biosecurity activities and responses
- marketing
- research and development
- residue testing.
Check individual product pages for details of levy and charge on a specific product.
Rates tables
| Levy/export charge type | Product | Levy/export charge rate | 
|---|---|---|
| Dairy produce levy | Whole milk (milk fat content) | 2.9263 cents per kilogram | 
| Dairy produce levy | Whole milk (protein content) | 7.1299 cents per kilogram | 
| Goat fibre levy | Goat fibre sold | 1.5% of the sale price | 
| Goat fibre levy | Goat fibre used | 1.5% of the market value on the day the goat fibre begins to be used | 
| Honey levy (from 1 July 2025) | Honey sold or used | 5.6 cents per kilogram | 
| Honey levy (up to 30 June 2025) | Honey sold or used | 4.6 cents per kilogram | 
| Honey export charge (from 1 July 2025) | Honey exported | 5.6 cents per kilogram | 
| Honey export charge (up to 30 June 2025) | Honey exported | 4.6 cents per kilogram | 
| Wool levy | Wool sold or used | 1.5% of value (sale price if sold or market price if used) | 
| Wool export charge | Wool exported | 1.5% of free on-board value | 
| Levy type | Product | Levy rate | 
|---|---|---|
| Buffalo slaughter levy | Buffalo slaughtered | $9.60 per head | 
| Cattle slaughter levy | Cattle slaughtered | 0.6 cents per kilogram | 
| Deer slaughter levy | Deer slaughtered cold carcase weight determined | 8.06 cents per kilogram | 
| Deer slaughter levy | Deer slaughtered hot carcase weight determined | 8 cents per kilogram | 
| Deer slaughter levy | All other deer slaughtered weight not determined | $3.60 per carcase | 
| Game animal processing levy | Game goats processed | 3 cents per carcase | 
| Game animal processing levy | Game pigs processed | 25 cents per carcase | 
| Goat slaughter levy | Goats slaughtered | 10 cents per head | 
| Horse slaughter levy | Horses slaughtered | $5.00 per head | 
| Macropod processing levy | Kangaroos processed for human consumption | 7 cents per carcase | 
| Macropod processing levy | Macropods processed for animal consumption | 3 cents per carcase | 
| Macropod processing levy | Other macropods processed for human consumption | 4 cents per carcase | 
| Pig slaughter levy | Pigs slaughtered | $3.425 per head | 
| Ratite slaughter levy | Emus slaughtered | $2.00 per head | 
| Ratite slaughter levy | Ostriches slaughtered | $1.25 per head | 
| Sheep and lambs slaughter levy | Lambs slaughtered | 16 cents per head | 
| Sheep and lambs slaughter levy | Sheep slaughtered | 15 cents per head | 
| Levy type | Product | Levy rate | 
|---|---|---|
| Eggs levy | Eggs | 32.5 cents per laying chicken | 
| Laying chickens levy (from 1 July 2025) | Laying chickens | 26.07 cents per laying chicken | 
| Laying chickens levy (up to 30 June 2025) | Laying chickens | 15.27 cents per laying chicken | 
| Meat chickens levy (from 1 July 2025) | Meat chickens | 0.406 cents per meat chicken | 
| Meat chickens levy (up to 30 June 2025) | Meat chickens | 0.2644 cents per meat chicken | 
| Levy/export charge type | Product | Levy/export charge rate | 
|---|---|---|
| Cotton levy | Cotton fibre | $2.25 per 227 kilograms | 
| Seed cotton export charge | Seed cotton exported | $4.06 per tonne | 
| Fodder export charge | Fodder exported | 50 cents per tonne | 
