2023 end-of-month red meat export reports
These tables provide a further breakdown of red meat exports in six formats: exports by state, exports by destination, by load port across Australia, comparison tables, meat exported via air freight and processed meat exports. All reports in Excel format.
| Title | Month | Fiscal YTD | Calendar YTD | 
|---|---|---|---|
| Exports by State of Production | 2312 mesp [26 KB] | 2312 fesp [27 KB] | 2312 cesp [27 KB] | 
| 57 Destination Report | 2312 m57dest [36 KB] | 2312 f57dest [38 KB] | 2312 c57dest [39 KB] | 
| Exports by Load Port | 2312 mlp [21 KB] | 2312 flp [21 KB] | 2312 clp [21 KB] | 
| Comparison Table | - | 2312 fcom [34 KB] | 2312 ccom [35 KB] | 
| Air Freight | 2312 mair [24 KB] | 2312 fair [25 KB] | 2312 cair [25 KB] | 
| Processed Meat Exports | 2312 mf9 [23 KB] | 2312 ff9 [22 KB] | 2312 cf9 [22 KB] | 
| Title | Month | Fiscal YTD | Calendar YTD | 
|---|---|---|---|
| Exports by State of Production | 2311 mesp [26 KB] | 2311 fesp [27 KB] | 2311 cesp [27 KB] | 
| 57 Destination Report | 2311 m57dest [36 KB] | 2311 f57dest [38 KB] | 2311 c57dest [39 KB] | 
| Exports by Load Port | 2311 mlp [21 KB] | 2311 flp [21 KB] | 2311 clp [21 KB] | 
| Comparison Table | - | 2311 fcom [34 KB] | 2311 ccom [35 KB] | 
| Air Freight | 2311 mair [24 KB] | 2311 fair [25 KB] | 2311 cair [25 KB] | 
| Processed Meat Exports | 2311 mf9 [23 KB] | 2311 ff9 [22 KB] | 2311 cf9 [22 KB] | 
| Title | Month | Fiscal YTD | Calendar YTD | 
|---|---|---|---|
| Exports by State of Production | 2310 mesp [26 KB] | 2310 fesp [26 KB] | 2310 cesp [27 KB] | 
| 57 Destination Report | 2310 m57dest [36 KB] | 2310 f57dest [36 KB] | 2310 c57dest [38 KB] | 
| Exports by Load Port | 2310 mlp [21 KB] | 2310 flp [21 KB] | 2310 clp [21 KB] | 
| Comparison Table | - | 2310 fcom [34 KB] | 2310 ccom [35 KB] | 
| Air Freight | 2310 mair [25 KB] | 2310 fair [25 KB] | 2310 cair [25 KB] | 
| Processed Meat Exports | 2310 mf9 [23 KB] | 2310 ff9 [22 KB] | 2310 cf9 [22 KB] | 
| Title | Month | Fiscal YTD | Calendar YTD | 
|---|---|---|---|
| Exports by State of Production | 2309 mesp [26 KB] | 2309 fesp [26 KB] | 2309 cesp [27 KB] | 
| 57 Destination Report | 2309 m57dest [36 KB] | 2309 f57dest [36 KB] | 2309 c57dest [38 KB] | 
| Exports by Load Port | 2309 mlp [21 KB] | 2309 flp [21 KB] | 2309 clp [21 KB] | 
| Comparison Table | - | 2309 fcom [34 KB] | 2309 ccom [35 KB] | 
| Air Freight | 2309 mair [25 KB] | 2309 fair [25 KB] | 2309 cair [25 KB] | 
| Processed Meat Exports | 2309 mf9 [23 KB] | 2309 ff9 [22 KB] | 2309 cf9 [22 KB] | 
| Title | Month | Fiscal YTD | Calendar YTD | 
|---|---|---|---|
| Exports by State of Production | 2308 mesp [26 KB] | 2308 fesp [26 KB] | 2308 cesp [27 KB] | 
| 57 Destination Report | 2308 m57dest [36 KB] | 2308 f57dest [36 KB] | 2308 c57dest [38 KB] | 
| Exports by Load Port | 2308 mlp [21 KB] | 2308 flp [21 KB] | 2308 clp [21 KB] | 
| Comparison Table | - | 2308 fcom [34 KB] | 2308 ccom [35 KB] | 
| Air Freight | 2308 mair [25 KB] | 2308 fair [25 KB] | 2308 cair [25 KB] | 
| Processed Meat Exports | 2308 mf9 [23 KB] | 2308 ff9 [22 KB] | 2308 cf9 [22 KB] | 
| Title | Month | Fiscal YTD | Calendar YTD | 
|---|---|---|---|
| Exports by State of Production | 2307 mesp [26 KB] | 2307 fesp [27 KB] | 2307 cesp [27 KB] | 
| 57 Destination Report | 2307 m57dest [36 KB] | 2307 f57dest [34 KB] | 2307 c57dest [38 KB] | 
| Exports by Load Port | 2307 mlp [21 KB] | 2307 flp [21 KB] | 2307 clp [21 KB] | 
| Comparison Table | - | 2307 fcom [35 KB] | 2307 ccom [35 KB] | 
| Air Freight | 2307 mair [25 KB] | 2307 fair [25 KB] | 2307 cair [25 KB] | 
| Processed Meat Exports | 2307 mf9 [23 KB] | 2307 ff9 [22 KB] | 2307 cf9 [22 KB] | 
| Title | Month | Fiscal YTD | Calendar YTD | 
|---|---|---|---|
| Exports by State of Production | 2306 mesp [26 KB] | 2306 fesp [27 KB] | 2306 cesp [27 KB] | 
| 57 Destination Report | 2306 m57dest [36 KB] | 2306 f57dest [34 KB] | 2306 c57dest [38 KB] | 
| Exports by Load Port | 2306 mlp [21 KB] | 2306 flp [21 KB] | 2306 clp [21 KB] | 
| Comparison Table | - | 2306 fcom [35 KB] | 2306 ccom [35 KB] | 
| Air Freight | 2306 mair [25 KB] | 2306 fair [25 KB] | 2306 cair [25 KB] | 
| Processed Meat Exports | 2306 mf9 [23 KB] | 2306 ff9 [22 KB] | 2306 cf9 [22 KB] | 
| Title | Month | Fiscal YTD | Calendar YTD | 
|---|---|---|---|
| Exports by State of Production | 2305 mesp [26 KB] | 2305 fesp [27 KB] | 2305 cesp [27 KB] | 
| 57 Destination Report | 2305 m57dest [36 KB] | 2305 f57dest [38 KB] | 2305 c57dest [38 KB] | 
| Exports by Load Port | 2305 mlp [21 KB] | 2305 flp [21 KB] | 2305 clp [21 KB] | 
