A list of horticulture export registered establishments approved to undertake treatments for protocol markets is provided below. Not all treatment facilities are listed, only those that have given permission to be published.
The registered establishments are grouped by the types of approved treatments. The list does not include approved commodities and countries. This information must be obtained from the establishment.
The available treatment functions are listed in the Reference: Registered operation and function codes for plant export registered establishments, which can found under the Establishment heading on the Plant Export Operations Manual.
If you would like your registered establishment to be added or removed from the below list please contact the Horticulture Exports Program.
The register was last updated 22 May 2024. Updates (if required) will occur each month.
| State | Treatment facility name | 
|---|---|
| VIC | CT Freight Pty Ltd | 
| VIC | Export Logistics Pty Ltd | 
| VIC | Grapeco Australia | 
| VIC | Grapeland Pty Ltd | 
| VIC | GV Independent Packers Pty Ltd | 
| VIC | J & F Lazzara & Sons Pty Ltd | 
| VIC | J & F Lazzara & Sons Pty Ltd | 
| VIC | Lucca Estate Pty Ltd | 
| VIC | Mazza Holdings Pty Ltd | 
| VIC | Seafrigo Australia Pty Ltd | 
| VIC | Seaway Intermodal Pty Ltd | 
| VIC | Treviso Farm Management Pty Ltd | 
| VIC | Valley Pack Pty Ltd | 
| VIC | Wiseway Logistics Pty Ltd | 
| WA | Fruitico Pty Ltd | 
| State | Treatment facility name | 
|---|---|
| NSW | Cargo King Pty Ltd | 
| NSW | Fresh Produce Group of Australia Pty Ltd | 
| NSW | Mainfreight Air And Ocean Pty Ltd | 
| QLD | Darling Group Australia Pty Ltd | 
| QLD | Hannay Douglas Pty Ltd | 
| QLD | Lindsay Fresh Logistics Pty Ltd | 
| VIC | CT Freight Pty Ltd | 
| VIC | Freshmax Australia Pty Ltd | 
| VIC | Mainfreight Air And Ocean Pty Ltd | 
| VIC | Seafrigo Australia Pty Ltd | 
| VIC | Seaway Logistics (Tullamarine) | 
| VIC | Treviso Farm Management Pty Ltd | 
| VIC | Valley Pack Pty Ltd | 
| VIC | Wiseway Logistics Pty Ltd | 
| WA | JAS Forwarding Worldwide Pty Ltd | 
| State | Treatment facility name | 
|---|---|
| VIC | CT Freight Pty Ltd | 
| VIC | Export Logistics Pty Ltd | 
| VIC | Freshmax Australia Pty Ltd | 
| VIC | Lucca Estate Pty Ltd | 
| VIC | Mode Logistics (Tullamarine) | 
| VIC | Seaway Intermodal Pty Ltd | 
| VIC | Treviso Farm Management Pty Ltd | 
| VIC | Valley Pack Pty Ltd | 
| VIC | Wiseway Logistics Pty Ltd | 
| WA | Fruitico Pty Ltd | 
| State | Treatment facility name | 
|---|---|
| QLD | Diamond Star Australia Pty Ltd | 
| QLD | Hannay Douglas Pty Ltd | 
| QLD | Manbulloo Ltd | 
| State | Treatment facility name | 
|---|---|
| VIC | Export Logistics Pty Ltd | 
| VIC | Grapeland Pty Ltd | 
| VIC | Lucca Estate Pty Ltd | 
| VIC | Treviso Farm Management Pty Ltd | 
| VIC | Valley Pack Pty Ltd | 
| State | Treatment facility name | 
|---|---|
| QLD | Steritech Pty Ltd | 
| VIC | Steritech Pty Ltd | 
| State | Treatment facility name | 
|---|---|
| QLD | Darling Group Australia Pty Ltd | 
| QLD | Hannay Douglas Pty Ltd |
