These tables show final FTA Dairy quota position for 2006-2023
| Quota type | Total quota | Total shipped | % shipped | Unused quota | 
| American Cheese (A) | 851,000 | 0 | 0 | 851,000 | 
| Butter (B) | 2,553,000 | 334,319 | 13 | 2,218,681 | 
| Condensed Milk (D) | 8,563,000 | 0 | 0 | 8,563,000 | 
| Other Milk Powders (F) | 8,104,000 | 0 | 0 | 8,104,000 | 
| Cheddar Cheese (H) | 1,341,000 | 905,843 | 68 | 435,157 | 
| Ice Cream (I) | 10,098,000 | 0 | 0 | 9,526,500 | 
| Skim Milk Powder (K) | 170,000 | 0 | 0 | 170,000 | 
| Other Dairy Products (L) | 4,282,000 | 501,887 | 12 | 3,780,113 | 
| Cream (M) | 10,098,000 | 0 | 0 | 9,526,500 | 
| Other Cheese (O) | 8,423,000 | 6,093 | 0 | 8,416,907 | 
| Swiss Cheese (T) | 1,203,000 | 0 | 0 | 1,203,000 | 
| European Cheese (U) | 4,813,000 | 6,185 | 0 | 4,806,815 | 
| Goya Cheese (Z) | 5,457,000 | 0 | 0 | 5,457,000 | 
| Quota type | Total quota | Total shipped | % shipped | Unused quota | 
| American Cheese (A) | 826,000 | 0 | 0 | 826,000 | 
| Butter (B) | 2,479,000 | 468,441 | 19 | 2,010,559 | 
| Condensed Milk (D) | 8,078,000 | 0 | 0 | 8,078,000 | 
| Other Milk Powders (F) | 7,792,000 | 0 | 0 | 7,792,000 | 
| Cheddar Cheese (H) | 1,302,000 | 777,796 | 60 | 524,204 | 
| Ice Cream (I) | 10,098,000 | 0 | 0 | 10,098,000 | 
| Skim Milk Powder (K) | 165,000 | 0 | 0 | 165,000 | 
| Other Dairy Products (L) | 4,039,000 | Add | Add | 3,475,948 | 
| Cream (M) | 10,098,000 | 0 | 0 | 10,098,000 | 
| Other Cheese (O) | 8,022,000 | 9,723 | 0 | 8,012,277 | 
| Swiss Cheese (T) | 1,146,000 | 0 | 0 | 1,146,000 | 
| European Cheese (U) | 4,584,000 | 7,521 | 0 | 4,576,479 | 
| Goya Cheese (Z) | 5,457,000 | 0 | 0 | 5,457,000 | 
| Quota type | Total quota | Total shipped | % shipped | Unused quota | 
|---|---|---|---|---|
| American Cheese (A) | 802,000 | 0 | 0 | 802,000 | 
| Butter (B) | 2,407,000 | 234,240 | 10 | 2,172,760 | 
| Condensed Milk (D) | 7,621,000 | 0 | 0 | 7,621,000 | 
| Other Milk Powders (F) | 7,492,000 | 0 | 0 | 7,492,000 | 
| Cheddar Cheese (H) | 1,264,000 | 1,255,296 | 99 | 8,704 | 
| Ice Cream (I) | 9,526,500 | 0 | 0 | 9,526,500 | 
| Skim Milk Powder (K) | 160,000 | 0 | 0 | 160,000 | 
| Other Dairy Products (L) | 3,881,000 | 74,366 | 2 | 3,806,634 | 
| Cream (M) | 9,526,500 | 0 | 0 | 9,526,500 | 
| Other Cheese (O) | 7,642,000 | 4,550,751 | 60 | 3,091,249 | 
| Swiss Cheese (T) | 1,091,000 | 0 | 0 | 1,091,000 | 
| European Cheese (U) | 4,366,000 | 24,265 | 1 | 4,341,735 | 
| Goya Cheese (Z) | 5,457,000 | 0 | 0 | 5,457,000 | 
| Quota type | Total quota | Total shipped | % shipped | Unused quota | 
|---|---|---|---|---|
| American Cheese (A) | 779,000 | 0 | 0 | 779,000 | 
| Butter (B) | 2,337,000 | 1,237,400 | 53 | 1,099,600 | 
| Condensed Milk (D) | 7,190,000 | 0 | 0 | 7,190,000 | 
| Other Milk Powders (F) | 7,204,000 | 0 | 0 | 7,204,000 | 
| Cheddar Cheese (H) | 1,168,000 | 965,405 | 83 | 202,595 | 
| Ice Cream (I) | 8,987,000 | 0 | 0 | 8,987,000 | 
| Skim Milk Powder (K) | 156,000 | 0 | 0 | 156,000 | 
| Other Dairy Products (L) | 3,595,000 | 680,841 | 18 | 2,914,159 | 
| Cream (M) | 8,987,000 | 0 | 0 | 8,987,000 | 
| Other Cheese (O) | 7,276,000 | 378,801 | 5 | 6,897,199 | 
| Swiss Cheese (T) | 1,039,000 | 0 | 0 | 1,039,000 | 
| European Cheese (U) | 4,158,000 | 1,360 | 0 | 4,156,639 | 
| Goya Cheese (Z) | 5,197,000 | 0 | 0 | 5,197,000 | 
| Quota type | Total quota | Total shipped | % shipped | Unused quota | 
|---|---|---|---|---|
| American Cheese (A) | 756,000 | 0 | 0 | 756,000 | 
| Butter (B) | 2,269,000 | 2,219,250 | 98 | 49,750 | 
| Condensed Milk (D) | 6,783,000 | 0 | 0 | 6,783,000 | 
| Other Milk Powders (F) | 6,927,000 | 491,075 | 7 | 6,435,925 | 
| Cheddar Cheese (H) | 1,134,000 | 954,780 | 84 | 179,220 | 
| Ice Cream (I) | 8,478,000 | 0 | 0 | 8,478,000 | 
| Skim Milk Powder (K) | 151,000 | 0 | 0 | 151,000 | 
| Other Dairy Products (L) | 3,391,000 | 637,987 | 19 | 2,753,013 | 
| Cream (M) | 8,478,500 | 0 | 0 | 8,478,500 | 
| Other Cheese (O) | 6,930,000 | 22,658 | 0 | 6,907,342 | 
| Swiss Cheese (T) | 990,000 | 0 | 0 | 990,000 | 
| European Cheese (U) | 3,960,000 | 40,996 | 1 | 3,919,004 | 
