Subscribe
![rss feed icon](https://www.agriculture.gov.au/sites/default/files/images/rss-symbol.png) Import Industry Advice Notices RSS Feed
| Import industry advice notices 2024 |  |  | 
|---|---|---|
| Date | No. | Description | 
|---|---|---|
| 24 December | 310-2024 | Unplanned Service Disruption: Tuesday 24 December 2024 – COLS | 
| 20 December | 309-2024 | List of treatment providers: treatment provider suspended - Ecolab (City of Industry) (AEI: US4077SB) | 
| 20 December 2024 | 308-2024 | Changes to import conditions for fresh cut flowers and foliage from Argentina and Japan | 
| 20 December 2024 | 307-2024 | List of treatment providers: treatment provider suspended - Atilim Ilaclama Liman Hizmetleri Metal ve Urunleri Ic ve Dis Tic.Ltd.Sti (AEI: TR4003SB) | 
| 18 December 2024 | 306-2024 | Mailbox restored: Email service for entrymanagement@aff.gov.au | 
| 18 December 2024 | 305-2024 | Improving cost recovery for diagnostic activities | 
| 18 December 2024 | 304-2024 | Self-Assessed Clearance (SAC) cost recovery charge: Commencement of billing in January 2025 | 
| 17 December 2024 | 303-2024 | Scheduled Outage: Thursday 19 December to Friday 20 December 2024 – Multiple Systems | 
| 17 December 2024 | 302-2024 | *Update* Scheduled Outage: Tuesday 17 December to Wednesday 18 December 2024 – Multiple Systems | 
| 16 December 2024 | 301-2024 | List of treatment providers: treatment provider suspended – Ne-da Ilaclama Amb. Mak. San. Ve Tic ltd. Sti. (AEI: TR4007SB), Ibrahim Tosik Teknik Ilaclama SAN.TIC.LTD.STI. (AEI:TR4009SB) | 
| 16 December 2024 | 300-2024 | Scheduled Outage: Tuesday 17 December to Wednesday 18 December 2024 – AAMP, Biosecurity Portal | 
| 16 December 2024 | 299-2024 | Scheduled Service Disruption: Tuesday 17 December to Wednesday 18 December 2024 – COLS, MARS, OPS and PEBS | 
| 13 December 2024 | 298-2024 | Unplanned Service Disruption: Friday 13 December 2024 – Inspection Requests (via email) | 
| 13 December 2024 | 297-2024 | Enhancing understanding of the Minimum documentary and import declaration requirements policy | 
| 13 December 2024 | 296-2024 | Services Restored: Friday 13 December 2024 – BICON | 
| 12 December 2024 | 295-2024 | Proposed introduction of a new charge for approved arrangement holders | 
| 11 December 2024 | 294-2024 | Unplanned outage: Email service for entrymanagement@aff.gov.au | 
| 11 December 2024 | 293-2024 | Changes to Import Conditions for New and Aged/Used Oversize Tyres | 
| 10 December 2024 | 292-2024 | Scheduled Outage: Friday 13 December 2024 – AAMP | 
| 10 December 2024 | 291-2024 | Impact of trade due to an outbreak of Highly Pathogenic Avian Influenza (HPAI) in New Zealand | 
| 9 December 2024 | 290-2024 | Scheduled Outage: Tuesday 10 December 2024 – DAFF messaging, SeaPest | 
| 6 December 2024 | 289-2024 | Changes to presentation and treatment requirements for oversize tyre inspections | 
| 5 December 2024 | 288-2024 | December 2024 / January 2025 Holiday Shut Down Operating Hours | 
| 4 December 2024 | 287-2024 | Arrivals email name change relating to human biosecurity | 
| 3 December 2024 | 286-2024 | Commencement of the application of fees for post-inspection in-office imported food sample management activities | 
| 3 December 2024 | 285-2024 | Containerised inorganic fertiliser for further processing pathway now open | 
| 2 December 2024 | 284-2024 | Commencement of the DAFF Maritime Waste Recycling Pilot (DMWRP) | 
| 27 November 2024 | 283-2024 | Expansion of the approved arrangement class 19.2 automatic entry processing for commodities (AEPCOMM) | 
| 25 November 2024 | 282-2024 | Services Restored: Monday 25 November 2024 – Biosecurity Portal (Class 14.4 Approved Arrangements lodgements) | 
| 25 November 2024 | 281-2024 | Streamlining import conditions for highly processed plant products not for human consumption | 
| 22 November 2024 | 280-2024 | Arrivals email name change | 
| 20 November 2024 | 279-2024 | Self-service cargo status reports becoming available on the Biosecurity Portal | 
| 20 November 2024 | 278-2024 | Changes to Pre-Arrival Reporting (PAR) Requirements for COVID-19 | 
| 19 November 2024 | 277-2024 | Scheduled Outage: Friday 22 November 2024 – AAMP, BCST, Biosecurity Portal, EVE | 
| 19 November 2024 | 276-2024 | Scheduled Outage: Friday 22 November to Saturday 23 November 2024 – BICON, DAFF messaging, EVE, SeaPest | 
| 19 November 2024 | 275-2024 | *Update* Scheduled Outage: Tuesday 19 November to Wednesday 20 November 2024 – Multiple Systems | 
| 19 November 2024 | 274-2024 | Scheduled Outage: Thursday 21 November to Friday 22 November 2024 – SeaPest | 
| 18 November 2024 | 273-2024 | Australian Fumigation Accreditation Scheme: treatment provider suspended – Bureau Veritas (Thailand) Ltd (AEI: TH0085MB) | 
| 18 November 2024 | 272-2024 | Scheduled Outage: Saturday 23 November to Sunday 24 November 2024 – COLS, MARS, OPS, and PEBS | 
| 18 November 2024 | 271-2024 | Impact of trade resulting from the outbreak of Lumpy Skin Disease in Japan | 
| 18 November 2024 | 270-2024 | New application form to request biosecurity inspection at a non-Approved Arrangement site | 
| 18 November 2024 | 269-2024 | Scheduled Service Disruption: Friday 22 November to Sunday 24 November 2024 – BICON, DAFF messaging, SeaPest | 
| 15 November 2024 | 268-2024 | Australian Fumigation Accreditation Scheme: treatment providers ‘suspended’, WG Genera Pacific Ltd (AEI: FJ0023MB), Nam Viet Quy Nhon Branch (AEI: VN0028MB) and Viet Nam Control Central Branch (AEI: VN0022MB) | 
| 15 November 2024 | 267-2024 | List of approved treatment providers: treatment provider ‘suspended’, Intertek Testing Services (Thailand) Co, Ltd. (AEI: TH0097MB) | 
| 15 November 2024 | 266-2024 | List of approved treatment providers: treatment provider ‘suspended’, Rentokil Initial Limited (AEI: FJ0020MB) | 
| 15 November 2024 | 265-2024 | Scheduled Outage: Tuesday 19 November 2024 – PEBS | 
| 14 November 2024 | 264-2024 | Scheduled Outage: Tuesday 19 November to Wednesday 20 November 2024 – Multiple Systems | 
| 14 November 2024 | 263-2024 | List of approved treatment providers: treatment providers ‘suspended’, Fastkil Pest Control Services Pte Limited (AEI: FJ0011MB) and Viet Nam Fumigation Company – Da Nang (AEI: VN0014MB) | 
| 14 November 2024 | 262-2024 | List of approved treatment providers: treatment providers ‘suspended’, All Pest & Hygiene Solution Pte Limited (AEI: FJ0025MB) | 
| 13 November 2024 | 261-2024 | Services Restored: Wednesday 13 November 2024 – Biosecurity Portal | 
| 13 November 2024 | 260-2024 | Unplanned Service Disruption: Wednesday 13 November 2024 - Biosecurity Portal | 
| 13 November 2024 | 259-2024 | Australian Fumigation Accreditation Scheme: treatment provider suspended - Rentokil Initial (AEI: FJ0010MB) | 
| 13 November 2024 | 258-2024 | List of approved treatment providers: treatment providers ‘suspended’, SGS (Thailand) Limited (AEI: TH0055MB) and Flick Hygiene Pte Ltd (AEI: FJ0012MB) | 
