Publication details
Animal Health Committee (AHC), June 2025
Download
Australia's National List of Reportable Diseases of Aquatic Animals (PDF182 KB)
Australia's National List of Reportable Diseases of Aquatic Animals (DOCX 53 KB)
If you have difficulty accessing these files, visit web accessibility for assistance.
Endorsed by the Animal Health Committee (AHC) - June 2025
| Infection with/or disease | Listed in the WOAH Aquatic Animal Health Code (2023) | Listed regionally (WOAH/NACA) (2023) | Exotic to Australia | 
|---|---|---|---|
| 1. Aeromonas salmonicida - atypical strains |  |  |  | 
| 2. Bacterial kidney disease (Renibacterium salmoninarum) |  |  | Yes | 
| 3. Enteric redmouth disease (Yersinia ruckeri – Hagerman strain) |  |  | Yes | 
| 4. Enteric septicaemia of catfish (Edwardsiella ictaluri) |  | Yes |  | 
| 5. Furunculosis (Aeromonas salmonicida subsp. salmonicida) |  |  | Yes | 
| 6. Infection with Aphanomyces invadans (epizootic ulcerative syndrome) | Yes | Yes |  | 
| 7. Infection with betanodavirus |  | Yes |  | 
| 8. Infection with epizootic haematopoietic necrosis virus | Yes | Yes |  | 
| 9. Infection with Gyrodactylus salaris | Yes |  | Yes | 
| 10. Infection with infectious haematopoietic necrosis virus | Yes | Yes | Yes | 
| 11. Infection with infectious salmon anaemia virus | Yes |  | Yes | 
| 12. Infection with infectious spleen and kidney necrosis virus | Yes |  | Yes | 
| 13. Infection with koi herpesvirus (Cyprinid herpesvirus 3) | Yes | Yes | Yes | 
| 14. Infection with red sea bream iridovirus | Yes | Yes | Yes | 
| 15. Infection with salmonid alphavirus | Yes |  | Yes | 
| 16. Infection with scale drop disease virus |  |  | Yes | 
| 17. Infection with Singapore grouper iridovirus (ranavirus) |  | Yes | Yes | 
| 18. Infection with spring viraemia of carp virus | Yes | Yes | Yes | 
| 19. Infection with tilapia lake virus | Yes | Yes | Yes | 
| 20. Infection with turbot reddish body iridovirus | Yes |  | Yes | 
| 21. Infection with viral haemorrhagic septicaemia virus | Yes | Yes | Yes | 
| 22. Infectious pancreatic necrosis |  |  | Yes | 
| 23. Whirling disease (Myxobolus cerebralis) |  |  | Yes | 
| Infection with/or disease | Listed in the WOAH Aquatic Animal Health Code (2023) | Listed regionally (WOAH/NACA) (2023) | Exotic to Australia | 
|---|---|---|---|
| 1. Infection with abalone herpesvirus (Haliotid herpesvirus-1) | Yes | Yes |  | 
| 2. Infection with Bonamia exitiosa | Yes | Yes |  | 
| 3. Infection with Bonamia ostreae | Yes | Yes | Yes | 
| 4. Infection with Marteilia refringens | Yes |  | Yes | 
| 5. Infection with Marteilia sydneyi |  |  |  | 
| 6. Infection with Marteilioides chungmuensis |  | Yes | Yes | 
| 7. Infection with Mikrocytos mackini |  |  | Yes | 
| 8. Infection with ostreid herpesvirus-1 |  |  |  | 
| 9. Infection with Perkinsus marinus | Yes |  | Yes | 
| 10. Infection with Perkinsus olseni | Yes | Yes |  | 
| 11. Infection with Xenohaliotis californiensis | Yes | Yes | Yes | 
| Infection with/or disease | Listed in the WOAH Aquatic Animal Health Code (2023) | Listed regionally (WOAH/NACA) (2023) | Exotic to Australia | 
|---|---|---|---|
| 1. Acute hepatopancreatic necrosis disease | Yes | Yes | Yes | 
| 2. Enterocytozoon hepatopenaei |  | Yes | Yes | 
| 3. Infection with Aphanomyces astaci (crayfish plague) | Yes | Yes | Yes | 
| 4. Infection with decapod iridescent virus 1 | Yes | Yes | Yes | 
| 5. Infection with Hepatobacter penaei (necrotising hepatopancreatitis) | Yes | Yes | Yes | 
| 6. Infection with infectious hypodermal and haematopoietic necrosis virus | Yes | Yes |  | 
| 7. Infection with infectious myonecrosis virus | Yes | Yes | Yes | 
| 8. Infection with Laem-Singh virus |  |  | Yes | 
| 9. Infection with Macrobrachium rosenbergii nodavirus (white tail disease) | Yes | Yes |  | 
| 10. Infection with Taura syndrome virus | Yes | Yes | Yes | 
| 11. Infection with white spot syndrome virus | Yes | Yes | * | 
| 12. Infection with yellow head virus genotype 1 | Yes | Yes | Yes | 
| Infection with/or disease | Listed in the WOAH Aquatic Animal Health Code (2023) | Listed regionally (WOAH/NACA) (2023) | Exotic to Australia | 
|---|---|---|---|
| 1. Infection with Batrachochytrium dendrobatidis | Yes | Yes |  | 
| 2. Infection with Batrachochytrium salamandrivorans | Yes |  | Yes | 
| 3. Infection with Ranavirus species | Yes | Yes |  | 
* Restrictions apply
