We may conduct a follow-up audit to assess the first full run of an establishment’s processes before handing responsibility for scheduled audits to state regulatory authorities, under agreed service delivery arrangements.

Check who has responsibility for scheduled audits of export registered dairy, eggs and fish establishments in your state.

This does not apply to multi-commodity stores that are registered for meat, as well as other products; these sites will always be audited by the department.

[expand all]

New South Wales

| Type of establishment | Audit service provider | 

|---|---|

| Dairy processors | NSW Food Authority | 

| Dairy stores | NSW Food Authority | 

| Fishing vessels | Our department | 

| Fish processors and stores | Our department | 

| Shellfish (ASQAP) harvest areas | NSW Food Authority | 

| Egg processors and stores | NSW Food Authority | 

| Multi-commodity establishments (dairy and/or eggs and/or fish) | Dependent on the commodities the establishment has registered for. Shared responsibility between:  | 

Northern Territory

| Type of establishment | Audit service provider | 

|---|---|

| Dairy processors | Our department | 

| Dairy stores | Our department | 

| Fishing vessels | Our department | 

| Fish processors and stores | Our department | 

| Shellfish (ASQAP) harvest areas | No export approved shellfish harvest areas in North Territory | 

| Egg processors and stores | No export registered egg establishments in North Territory | 

| Multi-commodity establishments (dairy and/or eggs and/or fish) | Our department | 

Queensland

| Type of establishment | Audit service provider | 

|---|---|

| Dairy processors | Shared responsibility between:  | 

| Dairy stores | Our department | 

| Fishing vessels | Our department | 

| Fish processors and stores | Our department | 

| Shellfish (ASQAP) harvest areas | No export approved shellfish harvest areas in Queensland | 

| Egg processors and stores | Safe Food Production QLD | 

| Multi-commodity establishments (dairy and/or eggs and/or fish) | Dependent on the commodities the establishment has registered for. Shared responsibility between:  | 

South Australia

| Type of establishment | Audit service provider | 

|---|---|

| Dairy processors | Our department | 

| Dairy stores | Our department | 

| Fishing vessels | Our department | 

| Fish processors and stores | Our department | 

| Shellfish (ASQAP) harvest areas | Primary Industries and Resources South Australia - Biosecurity South Australia | 

| Egg processors and stores | No export registered establishments in South Australia | 

| Multi-commodity establishments (dairy and/or eggs and/or fish) | Our department | 

Tasmania

| Type of establishment | Audit service provider | 

|---|---|

| Dairy processors | Tasmanian Dairy Industry Authority | 

| Dairy stores | Tasmanian Dairy Industry Authority | 

| Fishing vessels | Our department | 

| Fish processors and stores | Our department Note: The department is currently discussing with the State Authorities to agree on audit responsibility of fish processing establishments. | 

| Shellfish (ASQAP) harvest areas | Department of Natural Resources and Environment Tasmania - Biosecurity Tasmania | 

| Egg processors and stores | No export registered establishments in Tasmania | 

| Multi-commodity establishments (dairy and/or eggs and/or fish) | Dependent on the commodities the establishment has registered for. Shared responsibility between:  | 

Victoria

| Type of establishment | Audit service provider | 

|---|---|

| Dairy processors | Dairy Food Safety Victoria | 

| Dairy stores | Our department | 

| Fishing vessels | Our department | 

| Fish processors and stores | Our department | 

| Shellfish (ASQAP) harvest areas | Victorian Fisheries Authority | 

| Egg processors and stores | Our department | 

| Multi-commodity establishments (dairy and/or eggs and/or fish) | Dependent on the commodities the establishment has registered for. Shared responsibility between:  | 

Western Australia

| Type of establishment | Audit service provider | 

|---|---|

| Dairy processors | Our department | 

| Dairy stores | Our department | 

| Fishing vessels | Our department | 

| Fish processors and stores | Our department | 

| Shellfish (ASQAP) harvest areas | Department of Health, WA | 

| Egg processors and stores | Our department | 

| Multi-commodity establishments (dairy and/or eggs and/or fish) | Our department |
